id,number,name,source,destination
1,103,Mandovi Express,Mumbai Cst,Madgaon
2,104,Mandovi Express,Madgaon,Mumbai Cst
3,1048,Ubl Vsg Link Exp,Hubli Jn,Vasco Da Gama
4,1066,Dbg Ltt Express,Darbhanga Jn,Lokmanyatilak T
5,111,Konkan Kanya Exp,Mumbai Cst,Madgaon
6,112,Konkan Kanya Exp,Madgaon,Mumbai Cst
7,201,Ypr Guwahati Exp,Yesvantpur Jn,Guwahati
8,2779,Vsg Ubl Link Exp,Vasco Da Gama,Hubli Jn
9,3154,Gour Exp,Balurghat,Sealdah
10,340,Link Secbad Exp,Manuguru,Secunderabad Jn
11,4017,Sadbhavna Exp,Muzaffarpur Jn,Delhi
12,4523,Mfp Umb Exp,Muzaffarpur Jn,Ambala Cant Jn
13,4649,Saryuyamuna Exp,Darbhanga Jn,Amritsar Jn
14,4673,Shaheed Express,Darbhanga Jn,Amritsar Jn
15,5001,Mfp Ddn Exp,Muzaffarpur Jn,Dehradun
16,5097,Amarnath Exp,Barauni Jn,Jammu Tawi
17,5228,Mfp Ypr Exp,Muzaffarpur Jn,Yesvantpur Jn
18,611,Nagercoil Exp,Chennai Egmore,Nagarcoil Jn
19,612,Chennai Exp,Nagarcoil Jn,Chennai Egmore
20,6317,Mdu Jammu Exp,Madurai Jn,Jammu Tawi
21,641,Bangalore Exp,Eranakulam Jn,Bangalore Cy Jn
22,642,Ernakulam Exp,Bangalore Cy Jn,Eranakulam Jn
23,6687,Mdu Jammu Exp,Madurai Jn,Jammu Tawi
24,674,Jodhpur Express,Yesvantpur Jn,Jodhpur Jn
25,683,Bangalore Exp,Chennai Central,Bangalore Cy Jn
26,684,Chennai Exp,Bangalore Cy Jn,Chennai Central
27,7058,Devagiri Exp,Secunderabad Jn,Mumbai Cst
28,9040,Avadh Express,Muzaffarpur Jn,Bandra Terminus
29,1005,Latur Express,Mumbai Cst,Latur
30,1006,Latur Express,Latur,Mumbai Cst
31,1007,Deccan Express,Mumbai Cst,Pune Jn
32,1008,Deccan Express,Pune Jn,Mumbai Cst
33,1009,Sinhagad Exp,Mumbai Cst,Pune Jn
34,1010,Sinhagad Exp,Pune Jn,Mumbai Cst
35,1011,Mahalaxmi Exp,Mumbai Cst,C Shahumharaj T
36,1012,Mahalaxmi Exp,C Shahumharaj T,Mumbai Cst
37,1013,Coimbatore Exp,Lokmanyatilak T,Coimbatore Jn
38,1014,Lokmanya Tt Exp,Coimbatore Jn,Lokmanyatilak T
39,1015,Kushinagar Exp,Lokmanyatilak T,Gorakhpur Jn
40,1016,Kushinagar Exp,Gorakhpur Jn,Lokmanyatilak T
41,1017,Chalukya Express,Dadar,Yesvantpur Jn
42,1018,Chalukya Exp,Yesvantpur Jn,Dadar
43,1019,Konark Express,Mumbai Cst,Bhubaneswar
44,1020,Konark Express,Bhubaneswar,Mumbai Cst
45,1021,Indrayani Exp,Mumbai Cst,Pune Jn
46,1022,Indrayani Exp,Pune Jn,Mumbai Cst
47,1023,Sahyadri Expres,Mumbai Cst,C Shahumharaj T
48,1024,Sahyadri Exp,C Shahumharaj T,Mumbai Cst
49,1029,Koyna Express,Mumbai Cst,C Shahumharaj T
50,1030,Koyna Express,C Shahumharaj T,Mumbai Cst
51,1031,Gyan Ganga Exp,Pune Jn,Manduadih
52,1032,Gyan Ganga Exp,Manduadih,Pune Jn
53,1035,Sharavathi Exp,Dadar,Mysore Jn
54,1036,Sharavati Exp,Mysore Jn,Dadar
55,1039,Maharashtra Exp,C Shahumharaj T,Gondia Jn
56,1039F,Maharashtra Exp,Pune Jn,Faizabad Jn
57,1040,Maharashtra Exp,Gondia Jn,C Shahumharaj T
58,1043,Madurai Express,Lokmanyatilak T,Madurai Jn
59,1044,Lokamanya Tt Exp,Madurai Jn,Lokmanyatilak T
60,1047,Mrj Ubl Exp,Miraj Jn,Hubli Jn
61,1048,Ubl Mrj Express,Hubli Jn,Miraj Jn
62,1055,Godan Express,Lokmanyatilak T,Gorakhpur Jn
63,1056,Godan Express,Gorakhpur Jn,Lokmanyatilak T
64,1057,Amritsar Express,Dadar,Amritsar Jn
65,1058,Asr Dr Express,Amritsar Jn,Dadar
66,1059,Chhapra Express,Lokmanyatilak T,Chhapra
67,1060,Cpr Ltt Express,Chhapra,Lokmanyatilak T
68,1061,Muzaffarpur Exp,Lokmanyatilak T,Muzaffarpur Jn
69,1062,Mfp Ltt Express,Muzaffarpur Jn,Lokmanyatilak T
70,1065,Darbhanga Exp,Lokmanyatilak T,Darbhanga Jn
71,1066,Dikshabhumi Exp,Gaya Jn,Nagpur
72,1067,Saket Express,Lokmanyatilak T,Faizabad Jn
73,1068,Saket Express,Faizabad Jn,Lokmanyatilak T
74,1068A,Saket Link Exp,Rae Bareli Jn,Lokmanyatilak T
75,1069,Tulsi Express,Lokmanyatilak T,Allahabad Jn
76,1070,Tulsi Express,Allahabad Jn,Lokmanyatilak T
77,1071,Kamayani Express,Lokmanyatilak T,Varanasi Jn
78,1072,Kamayani Expres,Varanasi Jn,Lokmanyatilak T
79,1077,Jhelum Express,Pune Jn,Jammu Tawi
80,1078,Jhelum Express,Jammu Tawi,Pune Jn
81,1081,Kanyakumari Exp,Mumbai Cst,Kanyakumari
82,1082,Cape Mumbai Exp,Kanyakumari,Mumbai Cst
83,1089,Ju Pune Express,Jodhpur Jn,Pune Jn
84,1090,Pune Jodhpur Exp,Pune Jn,Jodhpur Jn
85,1091,Ahimsa Express,Bhuj,Pune Jn
86,1092,Pune Bhuj Exp,Pune Jn,Bhuj
87,1093,Mahanagari Exp,Mumbai Cst,Varanasi Jn
88,1094,Mahanagari Exp,Varanasi Jn,Mumbai Cst
89,1095,Ahimsa Express,Ahmedabad Jn,Pune Jn
90,1096,Ahimsa Express,Pune Jn,Ahmedabad Jn
91,1097,Eranakulam Exp,Pune Jn,Eranakulam Jn
92,1098,Poorna Express,Eranakulam Jn,Pune Jn
93,1103,Intercity Exp,Agra Cantt,H Nizamuddin
94,1104,Intercity Exp,H Nizamuddin,Agra Cantt
95,1107,Bundelkhand Exp,Gwalior,Varanasi Jn
96,1108,Bundelkhand Exp,Varanasi Jn,Gwalior
97,1123,Bju Gwl Mail,Barauni Jn,Gwalior
98,1124,Gwl Bju Mail,Gwalior,Barauni Jn
99,1271,Vindhyachal Exp,Itarsi Jn,Bhopal Jn
100,1272,Vindhyachal Exp,Bhopal Jn,Itarsi Jn
101,12G11,Dnr Grd Express,Danapur,Giridih
102,1396,Bpq Dr Pas Exp,Balharshah,Dadar
103,1405,Kakinada Express,Manmad Jn,Kakinada Town
104,1406,Cct Manmad Exp,Kakinada Town,Manmad Jn
105,1447,Shaktipunj Exp,Jabalpur,Howrah Jn
106,1448,Shaktipunj Exp,Howrah Jn,Jabalpur
107,1449,Jammutawi Exp,Jabalpur,Jammu Tawi
108,1450,Jat Jbp Express,Jammu Tawi,Jabalpur
109,1453,Prerana Express,Ahmedabad Jn,Nagpur
110,1454,Prerana Express,Nagpur,Ahmedabad Jn
111,1463,Vrl Jbp Express,Veraval,Jabalpur
112,1464,Veraval Express,Jabalpur,Veraval
113,1465,Vrl Jabalpur Exp,Veraval,Jabalpur
114,1466,Veraval Express,Jabalpur,Veraval
115,1471,Bpl Jabalpur Exp,Bhopal Jn,Jabalpur
116,1472,Jbp Bhopal Exp,Jabalpur,Bhopal Jn
117,1473,Bpl Jabalpur Exp,Bhopal Jn,Jabalpur
118,1474,Jbp Bhopal Exp,Jabalpur,Bhopal Jn
119,1616,Dhi Dr Pas Exp,Dhule,Dadar
120,163,Re Md Express,Rewari,Madar
121,2103,Pa Lucknow Exp,Pune Jn,Lucknow
122,2104,Ljn Pune Exp,Lucknow,Pune Jn
123,2105,Vidarbha Express,Mumbai Cst,Nagpur
124,2106,Vidarbha Express,Nagpur,Mumbai Cst
125,2107,Lucknow Sup Exp,Lokmanyatilak T,Lucknow
126,2108,Ljn Ltt Expresss,Lucknow,Lokmanyatilak T
127,2109,Panchavati Exp.,Mumbai Cst,Manmad Jn
128,2110,Panchavti Exp,Manmad Jn,Mumbai Cst
129,2115,Siddheshwar Exp,Mumbai Cst,Solapur Jn
130,2116,Siddheswar Exp,Solapur Jn,Mumbai Cst
131,2117,Ltt Mmr Exp,Lokmanyatilak T,Manmad Jn
132,2118,Mmr Ltt Exp,Manmad Jn,Lokmanyatilak T
133,2125,Pragati Express,Mumbai Cst,Pune Jn
134,2126,Pragati Express,Pune Jn,Mumbai Cst
135,2127,Intercity Exp,Mumbai Cst,Pune Jn
136,2128,Intercity Exp,Pune Jn,Mumbai Cst
137,2129,Azad Hind Exp,Pune Jn,Howrah Jn
138,2130,Azad Hind Exp,Howrah Jn,Pune Jn
139,2133,Darbhanga Exp,Pune Jn,Darbhanga Jn
140,2134,Dbg Pune Exp,Darbhanga Jn,Pune Jn
141,2135,Pune Nagpur Exp,Pune Jn,Nagpur
142,2136,Nagpur Pune Exp,Nagpur,Pune Jn
143,2137,Punjab Mail,Mumbai Cst,Firozpur Cant
144,2138,Punjab Mail,Firozpur Cant,Mumbai Cst
145,2139,Sewagram Exp.,Dadar,Nagpur
146,2140,Sewagram Exp.,Nagpur,Dadar
147,2141,Rajendra Ngr Exp,Lokmanyatilak T,Rjndr Ngr Bihar
148,2142,Rjpb Ltt Sup Exp,Rjndr Ngr Bihar,Lokmanyatilak T
149,2143,Dikshabhumi Exp,Nagpur,Gaya Jn
150,2144,Dikshabhumi Exp,Gaya Jn,Nagpur
151,2145,Bhubaneshwar Exp,Lokmanyatilak T,Bhubaneswar
152,2146,Bbs Ltt Sup Exp,Bhubaneswar,Lokmanyatilak T
153,2147,Nizamuddin Exp,C Shahumharaj T,H Nizamuddin
154,2148,Nzm Kop Exp,H Nizamuddin,C Shahumharaj T
155,2149,Pa Patna Sup Exp,Pune Jn,Patna Jn
156,2150,Pnbe Pune Exp,Patna Jn,Pune Jn
157,2151,Samarsata Exp,Lokmanyatilak T,Howrah Jn
158,2152,Samarsata Exp,Howrah Jn,Lokmanyatilak T
159,2153,Habibganj Expres,Lokmanyatilak T,Habibganj
160,2154,Hbj Ltt Sup Exp,Habibganj,Lokmanyatilak T
161,2155,Bhopal Express,Habibganj,H Nizamuddin
162,2156,Bhopal Express,H Nizamuddin,Habibganj
163,2157,Hutatma Express,Pune Jn,Solapur Jn
164,2158,Hutatma Express,Solapur Jn,Pune Jn
165,2159,Ngp Jbp Sup Exp,Nagpur,Jabalpur
166,2160,Nagpur Sup Exp,Jabalpur,Nagpur
167,2161,Lashkar Express,Lokmanyatilak T,Agra Cantt
168,2162,Lashkar Express,Agra Cantt,Lokmanyatilak T
169,2163,Chennai Express,Dadar,Chennai Central
170,2164,Chennai Exp,Chennai Central,Dadar
171,2165,Ltt Bsb Sup Exp,Lokmanyatilak T,Varanasi Jn
172,2166,Bsb Ltt Sup Exp,Varanasi Jn,Lokmanyatilak T
173,2173,Udyog Nagri Exp,Lokmanyatilak T,Kanpur Central
174,2174,Udyog Nagri Exp,Kanpur Central,Lokmanyatilak T
175,2175,Chambal Exp,Howrah Jn,Gwalior
176,2176,Chambal Express,Gwalior,Howrah Jn
177,2177,Chambal Exp,Howrah Jn,Agra Cantt
178,2178,Chambal Express,Agra Cantt,Howrah Jn
179,2181,Dayodaya Express,Jabalpur,Jaipur
180,2182,Dayodaya Exp,Jaipur,Jabalpur
181,2183,Bpl Lucknow Exp,Bhopal Jn,Lucknow
182,2184,Ljn Bpl Express,Lucknow,Bhopal Jn
183,2185,Rewanchal Exp,Bhopal Jn,Rewa
184,2186,Rewanchal Exp,Rewa,Bhopal Jn
185,2187,Rewanchal Exp,Bhopal Jn,Rewa
186,2188,Rewanchal Exp,Rewa,Bhopal Jn
187,2189,Mahakaushal Exp,Jabalpur,H Nizamuddin
188,2190,Mahakoshal Exp,H Nizamuddin,Jabalpur
189,2203A,Garib Rath Exp,Saharsa Jn,Amritsar Jn
190,2225,Kaifiyat Exp,Azamgarh,Delhi
191,2226,Kaifiyat Exp,Delhi,Azamgarh
192,2229,Lucknow Mail,Lucknow,New Delhi
193,2230,Lucknow Mail,New Delhi,Lucknow
194,2231,Lko Cdg Express,Lucknow,Chandigarh
195,2232,Cdg Lko Express,Chandigarh,Lucknow
196,2279,Taj Express,Jhansi Jn,H Nizamuddin
197,2280,Taj Express,H Nizamuddin,Jhansi Jn
198,2303,Poorva Express,Howrah Jn,New Delhi
199,2304,Poorva Express,New Delhi,Howrah Jn
200,2307,Hwh==Ju==Exp,Howrah Jn,Jodhpur Jn
201,2311,Hwh Dli Klk Mail,Howrah Jn,Kalka
202,2312,Kalka Mail,Kalka,Howrah Jn
203,2315,Annanya Express,Sealdah,Ajmer Jn
204,2316,Ananya Express,Ajmer Jn,Sealdah
205,2317,Akal Takht Exp,Sealdah,Amritsar Jn
206,2318,Asr Sealdah Exp,Amritsar Jn,Sealdah
207,2321,Hwh Mumbai Mail,Howrah Jn,Mumbai Cst
208,2322,Kolkata Mail,Mumbai Cst,Howrah Jn
209,2323,Hwh Ndls Express,Howrah Jn,New Delhi
210,2324,Ndls Hwh Express,New Delhi,Howrah Jn
211,2327,Upasana Express,Howrah Jn,Dehradun
212,2328,Upasana Express,Dehradun,Howrah Jn
